PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_BKR,BULAN
SULAWESI BARAT,MAMUJU,MAMUJU,BAMBU,1,JANUARI
SULAWESI BARAT,MAMUJU,MAMUJU,BATU PANNU,1,JANUARI
SULAWESI BARAT,MAMUJU,MAMUJU,BINANGA,1,JANUARI
SULAWESI BARAT,MAMUJU,MAMUJU,KARAMPUANG,1,JANUARI
SULAWESI BARAT,MAMUJU,MAMUJU,KAREMA,1,JANUARI
SULAWESI BARAT,MAMUJU,MAMUJU,MAMUNYU,2,JANUARI
SULAWESI BARAT,MAMUJU,MAMUJU,RIMUKU,1,JANUARI
SULAWESI BARAT,MAMUJU,MAMUJU,TADUI,1,JANUARI
SULAWESI BARAT,MAMUJU,PAPALANG,BATU AMPA,1,JANUARI
SULAWESI BARAT,MAMUJU,PAPALANG,BODA-BODA,1,JANUARI
SULAWESI BARAT,MAMUJU,PAPALANG,BONDA,1,JANUARI
SULAWESI BARAT,MAMUJU,PAPALANG,PAPALANG,1,JANUARI
SULAWESI BARAT,MAMUJU,PAPALANG,SALUKAYU,1,JANUARI
SULAWESI BARAT,MAMUJU,PAPALANG,SISANGO,1,JANUARI
SULAWESI BARAT,MAMUJU,PAPALANG,SUKADAMAI,1,JANUARI
SULAWESI BARAT,MAMUJU,PAPALANG,TOABO,1,JANUARI
SULAWESI BARAT,MAMUJU,PAPALANG,TOPORE,1,JANUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,BUNDE,1,JANUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,KALONDING,1,JANUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,LOSSO,1,JANUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,SALUBARANA,1,JANUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,SAMPAGA,1,JANUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,TANAMBUAH,1,JANUARI
SULAWESI BARAT,MAMUJU,SAMPAGA,TARAILU,1,JANUARI
SULAWESI BARAT,MAMUJU,SIMBORO,BOTTENG,1,JANUARI
SULAWESI BARAT,MAMUJU,SIMBORO,BOTTENG UTARA,1,JANUARI
